 Favorite,Activity Name,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories
 false,Missoula Running,Running,"Fri, Mar 3, 2017 9:19 PM",1:09:06,5.04,65,13:43,5:09,,,627
 false,Missoula Running,Running,"Thu, Mar 2, 2017 11:06 AM",1:09:01,5.04,74,13:42,5:22,,,676
 false,Missoula Running,Running,"Tue, Feb 28, 2017 9:07 AM",1:43:38,7.09,130,14:37,7:29,,,833
 false,Missoula Running,Running,"Sun, Feb 26, 2017 12:31 PM",2:27:20,9.03,179,16:19,3:03,,,"1,025"
 false,Missoula Running,Running,"Fri, Feb 24, 2017 4:31 PM",1:13:17,5.04,53,14:32,7:21,,,610
 false,Missoula Running,Running,"Thu, Feb 23, 2017 4:12 PM",1:22:59,6.03,142,13:45,6:05,,,801
 false,Missoula Running,Running,"Sat, Feb 18, 2017 3:11 PM",1:39:52,7.04,120,14:11,4:52,,,912
 false,Missoula Running,Running,"Fri, Feb 17, 2017 4:01 PM",1:05:07,5.04,76,12:55,6:22,,,683
 false,Missoula Running,Running,"Tue, Feb 14, 2017 2:34 PM",1:07:13,5.03,67,13:21,5:04,,,669
 false,Missoula Running,Running,"Mon, Feb 13, 2017 5:01 PM",1:04:22,5.06,96,12:44,6:09,,,690
 false,Missoula Running,Running,"Sun, Feb 12, 2017 10:21 PM",50:10,4.04,32,12:26,5:39,,,558
 false,Missoula Running,Running,"Sat, Feb 11, 2017 6:49 PM",1:10:50,5.05,52,14:02,5:25,,,673
 false,Missoula Running,Running,"Thu, Feb 9, 2017 2:22 PM",1:33:44,6.03,115,15:33,4:56,,,699
 false,Missoula Running,Running,"Tue, Feb 7, 2017 7:30 PM",1:06:11,5.03,55,13:09,5:33,,,670
 false,Missoula Running,Running,"Mon, Feb 6, 2017 2:55 PM",1:08:23,5.03,78,13:35,6:23,,,631
 false,Missoula Running,Running,"Fri, Feb 3, 2017 4:15 PM",1:32:53,7.04,140,13:11,5:06,,,920
 false,Missoula Running,Running,"Wed, Feb 1, 2017 2:58 PM",1:37:31,7.04,102,13:51,13:42,,,871
 false,Missoula Running,Running,"Mon, Jan 30, 2017 2:34 PM",1:34:53,7.04,121,13:29,7:10,,,929
 false,Missoula Running,Running,"Sat, Jan 28, 2017 1:34 PM",1:29:58,7.03,118,12:48,6:33,,,943
 false,Missoula Running,Running,"Wed, Jan 25, 2017 6:07 PM",1:12:43,5.03,67,14:27,7:45,,,665
 false,Missoula Running,Running,"Sat, Jan 28, 2017 1:34 PM",1:29:58,7.03,118,12:48,6:33,,,943
 false,Missoula Running,Running,"Wed, Jan 25, 2017 6:07 PM",1:12:43,5.03,67,14:27,7:45,,,665
 false,Missoula Running,Running,"Tue, Jan 24, 2017 11:20 PM",49:33,4.04,27,12:17,5:51,,,572
 false,Missoula Running,Running,"Mon, Jan 23, 2017 3:04 PM",1:04:25,5.03,67,12:48,4:22,,,672
 false,Missoula Running,Running,"Wed, Dec 21, 2016 4:14 PM",1:00:22,5.03,56,12:00,5:01,,,712
 false,Missoula Running,Running,"Thu, Nov 24, 2016 3:20 PM",1:26:07,7.04,106,12:14,7:24,,,988
